effect_id,study_id,paper_doi,paper_title,citation,publication_year,experiment_year,country,location,latitude,longitude,broad_climate,koppen_climate,crop_as_reported,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_sd,control_sd,treatment_n,control_n,lnrr,variance_lnrr,percent_change,shared_control_group,source_locator,variance_provenance,analysis_tier,source_analysis_tier,tier_reconciliation,formal_decision,variance_origin_status,independence_resolution,sensitivity_note,quality_flags,system_boundary,gwp_version,soc_measure,soil_depth,water_regime,nitrogen_rate,extraction_method
dong_2024_CH4_2016_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C1,N1C0,164.16,188.04,7.08408780296,28.4749152764,3,3,-0.135813144174,0.00826443447864,-12.6994256541,dong_2024_2016_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2016_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C2,N1C0,155.9,188.04,3.81051177665,28.4749152764,3,3,-0.187439930092,0.00784282887503,-17.0921080621,dong_2024_2016_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2016_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C3,N1C0,158.46,188.04,58.0063815455,28.4749152764,3,3,-0.171152510619,0.0523111240552,-15.7306955967,dong_2024_2016_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2017_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C1,N1C0,220.41,132.38,17.0607004546,4.46869108353,3,3,0.50981287361,0.00237698098064,66.497960417,dong_2024_2017_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2017_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C2,N1C0,177.91,132.38,44.3405006738,4.46869108353,3,3,0.295601229756,0.0210850242955,34.3934129023,dong_2024_2017_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2017_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C3,N1C0,233.16,132.38,31.0037094555,4.46869108353,3,3,0.566048338487,0.00627366965335,76.1293246714,dong_2024_2017_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2015_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C1,N2C0,224.05,151.76,108.357098522,37.1005282981,3,3,0.389568915605,0.0978873039396,47.6344227728,dong_2024_2015_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2015_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C2,N2C0,187.37,151.76,9.05862572359,37.1005282981,3,3,0.210784945984,0.0207007217833,23.4646810754,dong_2024_2015_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2015_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C3,N2C0,206.99,151.76,35.697567144,37.1005282981,3,3,0.310370157293,0.0298357941202,36.3929889299,dong_2024_2015_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2016_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C1,N2C0,167.52,180.57,10.5481894181,44.2538981334,3,3,-0.0750157671056,0.0213428271911,-7.22711413856,dong_2024_2016_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2016_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C2,N2C0,153.43,180.57,25.8941595732,44.2538981334,3,3,-0.162874077271,0.0295154986423,-15.0301822008,dong_2024_2016_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2016_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C3,N2C0,190.47,180.57,4.50333209968,44.2538981334,3,3,0.0533761876227,0.0202075580699,5.48263831201,dong_2024_2016_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2017_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C1,N2C0,239.35,225.85,52.394536929,34.7969007241,3,3,0.0580558537379,0.0238855130725,5.97741864069,dong_2024_2017_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2017_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N2C2,N2C0,156.8,225.85,33.7057087153,34.7969007241,3,3,-0.364899954184,0.0233151915077,-30.5733894178,dong_2024_2017_N2C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
