study_id,crop_display,experiment_year,season,shared_control_group,contrast,a_effect_id,b_effect_id,a_arm,b_arm,difference_lnrr,percent,matching_note,doi
qin_huizhou_2012_2015,rice,2012,early rice,qin_2016_2012_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_early_BC1_vs_CK_yield,qin_2016_2012_early_RS_vs_CK_yield,BC1,RS,0.0790843148028,8.229557176111518,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2012,early rice,qin_2016_2012_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_early_BC2_vs_CK_yield,qin_2016_2012_early_RS_vs_CK_yield,BC2,RS,0.029734148639700003,3.0180622625400875,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2012,early rice,qin_2016_2012_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_early_BC3_vs_CK_yield,qin_2016_2012_early_RS_vs_CK_yield,BC3,RS,0.12177171128559999,12.949622110557895,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2012,late rice,qin_2016_2012_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_late_BC1_vs_CK_yield,qin_2016_2012_late_RS_vs_CK_yield,BC1,RS,-0.0026268883396000017,-0.26234410876016573,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2012,late rice,qin_2016_2012_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_late_BC2_vs_CK_yield,qin_2016_2012_late_RS_vs_CK_yield,BC2,RS,0.045818362013000005,4.688423974037309,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2012,late rice,qin_2016_2012_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2012_late_BC3_vs_CK_yield,qin_2016_2012_late_RS_vs_CK_yield,BC3,RS,0.0094622998379,0.9507208933022449,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,early rice,qin_2016_2013_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_early_BC1_vs_CK_yield,qin_2016_2013_early_RS_vs_CK_yield,BC1,RS,-0.011365012137099999,-1.1300674350564275,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,early rice,qin_2016_2013_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_early_BC2_vs_CK_yield,qin_2016_2013_early_RS_vs_CK_yield,BC2,RS,-0.0016167259014000027,-0.16154197040957055,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,early rice,qin_2016_2013_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_early_BC3_vs_CK_yield,qin_2016_2013_early_RS_vs_CK_yield,BC3,RS,0.04111214688249999,4.196895256303444,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,late rice,qin_2016_2013_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_late_BC1_vs_CK_yield,qin_2016_2013_late_RS_vs_CK_yield,BC1,RS,0.1034364857507,10.897535539099412,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,late rice,qin_2016_2013_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_late_BC2_vs_CK_yield,qin_2016_2013_late_RS_vs_CK_yield,BC2,RS,0.066140123001344,6.837641078723329,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2013,late rice,qin_2016_2013_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2013_late_BC3_vs_CK_yield,qin_2016_2013_late_RS_vs_CK_yield,BC3,RS,0.12346476471260001,13.141013827834373,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,early rice,qin_2016_2014_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_early_BC1_vs_CK_yield,qin_2016_2014_early_RS_vs_CK_yield,BC1,RS,-0.0324072072996,-3.1887720583825856,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,early rice,qin_2016_2014_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_early_BC2_vs_CK_yield,qin_2016_2014_early_RS_vs_CK_yield,BC2,RS,0.0495934827993,5.084382344553038,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,early rice,qin_2016_2014_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_early_BC3_vs_CK_yield,qin_2016_2014_early_RS_vs_CK_yield,BC3,RS,0.1082457706486,11.432157927221006,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,late rice,qin_2016_2014_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_late_BC1_vs_CK_yield,qin_2016_2014_late_RS_vs_CK_yield,BC1,RS,0.06101979857289999,6.291995827715391,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,late rice,qin_2016_2014_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_late_BC2_vs_CK_yield,qin_2016_2014_late_RS_vs_CK_yield,BC2,RS,0.1165325427359,12.359407469748248,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2014,late rice,qin_2016_2014_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2014_late_BC3_vs_CK_yield,qin_2016_2014_late_RS_vs_CK_yield,BC3,RS,0.0559328831412,5.752670348421713,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,early rice,qin_2016_2015_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_early_BC1_vs_CK_yield,qin_2016_2015_early_RS_vs_CK_yield,BC1,RS,-0.004028317130799999,-0.4020214345194963,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,early rice,qin_2016_2015_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_early_BC2_vs_CK_yield,qin_2016_2015_early_RS_vs_CK_yield,BC2,RS,-0.009231541218409998,-0.9189061360461853,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,early rice,qin_2016_2015_early_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_early_BC3_vs_CK_yield,qin_2016_2015_early_RS_vs_CK_yield,BC3,RS,0.018496148507600004,1.8668261768951298,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,late rice,qin_2016_2015_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_late_BC1_vs_CK_yield,qin_2016_2015_late_RS_vs_CK_yield,BC1,RS,0.01411967743088,1.4219830899314836,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,late rice,qin_2016_2015_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_late_BC2_vs_CK_yield,qin_2016_2015_late_RS_vs_CK_yield,BC2,RS,-0.01350672214418,-1.3415915665018507,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
qin_huizhou_2012_2015,rice,2015,late rice,qin_2016_2015_late_CK_yield,biochar_return_vs_direct_return,qin_2016_2015_late_BC3_vs_CK_yield,qin_2016_2015_late_RS_vs_CK_yield,BC3,RS,0.09830598125222001,10.330032268009823,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1016/j.scitotenv.2016.06.222
jijnasa_bhubaneswar_2022_2024,rice,Kharif_2022,Kharif_wet,jijnasa_Kharif_2022_S1,biochar_return_vs_direct_return,jijnasa_k22_biochar_yield,jijnasa_k22_return_yield,S4: rice-straw biochar produced off-field and returned,S3: in-situ rice straw incorporation,-0.042221608076000006,-4.134268917134755,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Kharif_2023,Kharif_wet,jijnasa_Kharif_2023_S1,biochar_return_vs_direct_return,jijnasa_k23_biochar_yield,jijnasa_k23_return_yield,S4: rice-straw biochar produced off-field and returned,S3: in-situ rice straw incorporation,-0.03336113680019999,-3.2810791104955337,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Rabi_2023,Rabi_dry,jijnasa_Rabi_2023_S1,biochar_return_vs_direct_return,jijnasa_r23_biochar_yield,jijnasa_r23_return_yield,S4: rice-straw biochar produced off-field and returned,S3: in-situ rice straw incorporation,-0.0351255622819,-3.451581975041963,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Rabi_2024,Rabi_dry,jijnasa_Rabi_2024_S1,biochar_return_vs_direct_return,jijnasa_r24_biochar_yield,jijnasa_r24_return_yield,S4: rice-straw biochar produced off-field and returned,S3: in-situ rice straw incorporation,-0.03166912338899999,-3.1172908723618464,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
