endpoint,effect_id,outcome,reason
SOC,pachauri_2024_burning_vs_removal_yield_2021_22,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_early_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_early_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_early_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_early_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_late_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_late_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_late_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2012_late_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_early_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_early_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_early_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_early_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_late_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_late_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_late_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2013_late_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_early_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_early_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_early_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_early_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_late_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_late_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_late_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2014_late_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_early_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_early_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_early_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_early_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_late_BC1_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_late_BC2_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_late_BC3_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,qin_2016_2015_late_RS_vs_CK_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0013_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0014_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0015_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0117_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0118_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0119_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_rice_ext_pair_0120_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00015_CropYield,yield,matched
SOC,BiocharDS_v1_row_00016_CropYield,yield,matched
SOC,BiocharDS_v1_row_00015_SOC,SOC,matched
SOC,BiocharDS_v1_row_00016_SOC,SOC,matched
SOC,BiocharDS_v1_row_00240_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00241_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00242_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00243_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00244_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00245_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,rice_primary_53_2011_yield,yield,matched
SOC,rice_primary_53_2011_SOC,SOC,matched
SOC,rice_primary_53_2012_yield,yield,matched
SOC,rice_primary_53_2012_SOC,SOC,matched
SOC,rice_primary_53_2013_yield,yield,matched
SOC,rice_primary_53_2013_SOC,SOC,matched
SOC,BiocharDS_v1_row_00470_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00471_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00474_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00475_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00489_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00490_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00491_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00496_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00497_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00498_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00503_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00504_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00505_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00510_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00511_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,BiocharDS_v1_row_00512_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,wei_2015_2008_L_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2008_L_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2008_M_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2008_M_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2008_H_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2008_H_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_L_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_L_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_M_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_M_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_H_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2009_H_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_L_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_L_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_M_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_M_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_H_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2010_H_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_L_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_L_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_M_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_M_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_H_SOC_0_20cm,SOC,nonunique_period_arm_key_including_depths
SOC,wei_2015_2011_H_SOC_20_40cm,SOC,nonunique_period_arm_key_including_depths
SOC,yang_2015_biochar_CB2_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,yang_2015_biochar_CB4_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,yang_2015_biochar_RB2_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,yang_2015_biochar_RB4_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,yuan_2022_direct_return_Straw_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,yuan_2022_biochar_return_0.5pctBC_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,yuan_2022_biochar_return_1.0pctBC_SOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,zheng_2019_direct_return_S_vs_CK_SOC,SOC,not_SOC_concentration
SOC,zheng_2019_direct_return_SNPK_vs_NPK_SOC,SOC,not_SOC_concentration
SOC,zheng_2019_biochar_return_C_vs_CK_SOC,SOC,not_SOC_concentration
SOC,zheng_2019_biochar_return_CNPK_vs_NPK_SOC,SOC,not_SOC_concentration
SOC,rice_primary_53_2011_direct_yield,yield,matched
SOC,rice_primary_53_2011_direct_SOC,SOC,matched
SOC,rice_primary_53_2012_direct_yield,yield,matched
SOC,rice_primary_53_2012_direct_SOC,SOC,matched
SOC,rice_primary_53_2013_direct_yield,yield,matched
SOC,rice_primary_53_2013_direct_SOC,SOC,matched
SOC,panneerselvam_cuttack_2021_2022_kharif_NC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,panneerselvam_cuttack_2021_2022_kharif_SMC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,panneerselvam_cuttack_2021_2022_kharif_capsule_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,panneerselvam_cuttack_2021_2022_rabi_NC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,panneerselvam_cuttack_2021_2022_rabi_SMC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,panneerselvam_cuttack_2021_2022_rabi_capsule_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_N0_wheat_2010_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_N0_maize_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_N0_wheat_2011_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_N0_maize_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_Ncon_wheat_2010_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_Ncon_maize_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_Ncon_wheat_2011_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_shangzhuang_2006_2013_yield_Ncon_maize_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,du_dingxi_2016_2022_2021_LN_yield,yield,matched
SOC,du_dingxi_2016_2022_2021_MN_yield,yield,matched
SOC,du_dingxi_2016_2022_2021_HN_yield,yield,matched
SOC,du_dingxi_2016_2022_2022_LN_yield,yield,matched
SOC,du_dingxi_2016_2022_2022_MN_yield,yield,matched
SOC,du_dingxi_2016_2022_2022_HN_yield,yield,matched
SOC,du_dingxi_2016_2022_2021_LN_SOC,SOC,matched
SOC,du_dingxi_2016_2022_2021_MN_SOC,SOC,matched
SOC,du_dingxi_2016_2022_2021_HN_SOC,SOC,matched
SOC,du_dingxi_2016_2022_2022_LN_SOC,SOC,matched
SOC,du_dingxi_2016_2022_2022_MN_SOC,SOC,matched
SOC,du_dingxi_2016_2022_2022_HN_SOC,SOC,matched
SOC,nayak_bhubaneswar_2020_burning_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,nayak_bhubaneswar_2020_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,nayak_bhubaneswar_2021_burning_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,nayak_bhubaneswar_2021_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k22_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k22_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k22_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k23_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k23_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_k23_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r23_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r23_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r23_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r24_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r24_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_r24_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2223_burn_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2223_return_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2223_biochar_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2324_burn_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2324_return_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,jijnasa_2324_biochar_soc,SOC,no_unique_counterpart_with_same_period_arms_water_N
GWP,amgain_2025_direct_return_vs_removal_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,amgain_2025_open_burning_vs_removal_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,basir_2016_open_burning_vs_removal_yield_pooled_2009_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N1C1_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N1C2_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N1C3_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N1C1_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N1C2_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N1C3_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N1C1_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N1C2_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N1C3_vs_N1C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N2C1_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N2C2_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2015_N2C3_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N2C1_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N2C2_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2016_N2C3_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N2C1_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N2C2_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,dong_2024_GWP_2017_N2C3_vs_N2C0,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,gupta_2022_R7_vs_R1_pooled_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,korav_2024_T1_vs_T2_yield_2019,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,korav_2024_T1_vs_T2_yield_2020,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,pachauri_2024_burning_vs_removal_yield_2020_21,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,pachauri_2024_burning_vs_removal_yield_2021_22,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,qin_2016_2012_early_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_early_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2012_early_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_early_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2012_early_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_early_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2012_early_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_early_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2012_late_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_late_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2012_late_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_late_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2012_late_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_late_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2012_late_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2012_late_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2013_early_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_early_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2013_early_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_early_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2013_early_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_early_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2013_early_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_early_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2013_late_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_late_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2013_late_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_late_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2013_late_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_late_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2013_late_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2013_late_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2014_early_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_early_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2014_early_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_early_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2014_early_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_early_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2014_early_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_early_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2014_late_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_late_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2014_late_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_late_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2014_late_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_late_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2014_late_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2014_late_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2015_early_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_early_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2015_early_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_early_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2015_early_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_early_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2015_early_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_early_RS_vs_CK_yield,yield,matched
GWP,qin_2016_2015_late_BC1_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_late_BC1_vs_CK_yield,yield,matched
GWP,qin_2016_2015_late_BC2_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_late_BC2_vs_CK_yield,yield,matched
GWP,qin_2016_2015_late_BC3_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_late_BC3_vs_CK_yield,yield,matched
GWP,qin_2016_2015_late_RS_vs_CK_GWP,GWP,matched
GWP,qin_2016_2015_late_RS_vs_CK_yield,yield,matched
GWP,rice_primary_rice_ext_pair_0013_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_rice_ext_pair_0014_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_rice_ext_pair_0015_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_rice_ext_pair_0117_yield,yield,matched
GWP,rice_primary_rice_ext_pair_0117_GWP,GWP,matched
GWP,rice_primary_rice_ext_pair_0118_yield,yield,matched
GWP,rice_primary_rice_ext_pair_0118_GWP,GWP,matched
GWP,rice_primary_rice_ext_pair_0119_yield,yield,matched
GWP,rice_primary_rice_ext_pair_0119_GWP,GWP,matched
GWP,rice_primary_rice_ext_pair_0120_yield,yield,matched
GWP,rice_primary_rice_ext_pair_0120_GWP,GWP,matched
GWP,BiocharDS_v1_row_00015_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00016_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00240_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00241_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00242_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00243_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00244_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00245_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_2011_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
