study_id,pathway,crop_display,experiment_year,season,treatment_arm,control_arm,water_regime,nitrogen_rate,endpoint,yield_effect_id,endpoint_effect_id,yield_percent,endpoint_percent,yield_lnrr,endpoint_lnrr,system_boundary,soc_measure,doi,pairing_level
qin_huizhou_2012_2015,biochar_return,rice,2012,early rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_early_BC1_vs_CK_yield,qin_2016_2012_early_BC1_vs_CK_GWP,-1.2645754639505022,-28.739230743050438,-0.0127263927357,-0.338824230795,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2012,early rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_early_BC2_vs_CK_yield,qin_2016_2012_early_BC2_vs_CK_GWP,-6.018906685334372,-38.553088605846575,-0.0620765588988,-0.486996613336,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2012,early rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_early_BC3_vs_CK_yield,qin_2016_2012_early_BC3_vs_CK_GWP,3.0414350871408766,-37.48850711708019,0.0299610037471,-0.469819760024,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2012,early rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_early_RS_vs_CK_yield,qin_2016_2012_early_RS_vs_CK_GWP,-8.77221794838644,91.64637676231224,-0.0918107075385,0.650481700167,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2012,late rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_late_BC1_vs_CK_yield,qin_2016_2012_late_BC1_vs_CK_GWP,3.2060281263719896,-18.26905354346191,0.0315570774307,-0.201737474244,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2012,late rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_late_BC2_vs_CK_yield,qin_2016_2012_late_BC2_vs_CK_GWP,8.328958933543875,51.304411267819795,0.0800023277833,0.41412359015,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2012,late rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_late_BC3_vs_CK_yield,qin_2016_2012_late_BC3_vs_CK_GWP,4.4612774061273885,-7.396015728193077,0.0436462656082,-0.0768380185682,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2012,late rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2012_late_RS_vs_CK_yield,qin_2016_2012_late_RS_vs_CK_GWP,3.4774952390241505,129.56831935623248,0.0341839657703,0.831030487039,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,early rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_early_BC1_vs_CK_yield,qin_2016_2013_early_BC1_vs_CK_GWP,3.9014947384185623,-22.91383356571554,0.0382730983314,-0.260246345197,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,early rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_early_BC2_vs_CK_yield,qin_2016_2013_early_BC2_vs_CK_GWP,4.919309162464307,-40.605006914196004,0.0480213845671,-0.520960254657,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,early rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_early_BC3_vs_CK_yield,qin_2016_2013_early_BC3_vs_CK_GWP,9.499550402960681,-70.86941054275485,0.090750257351,-1.23338137982,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2013,early rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_early_RS_vs_CK_yield,qin_2016_2013_early_RS_vs_CK_GWP,5.089072120252499,46.761514582904326,0.0496381104685,0.38363873358,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,late rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_late_BC1_vs_CK_yield,qin_2016_2013_late_BC1_vs_CK_GWP,3.6963170189761336,-19.128981861288,0.0362964128884,-0.21231466914,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,late rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_late_BC2_vs_CK_yield,qin_2016_2013_late_BC2_vs_CK_GWP,-0.09994500776937355,-16.186569876384542,-0.000999949860956,-0.176576927336,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2013,late rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_late_BC3_vs_CK_yield,qin_2016_2013_late_BC3_vs_CK_GWP,5.794113283996177,-45.9543015193697,0.0563246918503,-0.615340229147,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2013,late rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2013_late_RS_vs_CK_yield,qin_2016_2013_late_RS_vs_CK_GWP,-6.493578495785714,19.074230531401774,-0.0671400728623,0.174576898628,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,early rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_early_BC1_vs_CK_yield,qin_2016_2014_early_BC1_vs_CK_GWP,1.2318348440102755,-24.185918690945844,0.0122430949548,-0.276886141344,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,early rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_early_BC2_vs_CK_yield,qin_2016_2014_early_BC2_vs_CK_GWP,9.882759101081355,-5.046673394360683,0.0942437850537,-0.0517847140024,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,early rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_early_BC3_vs_CK_yield,qin_2016_2014_early_BC3_vs_CK_GWP,16.520387639364195,-10.952479636689153,0.152896072903,-0.116000022083,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2014,early rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_early_RS_vs_CK_yield,qin_2016_2014_early_RS_vs_CK_GWP,4.566213027541324,225.36536797968796,0.0446503022544,1.17977857406,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,late rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_late_BC1_vs_CK_yield,qin_2016_2014_late_BC1_vs_CK_GWP,10.824749873019872,-20.89318331058111,0.102779937686,-0.234371136806,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,late rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_late_BC2_vs_CK_yield,qin_2016_2014_late_BC2_vs_CK_GWP,17.150902396252558,-45.39419590878563,0.158292681849,-0.60503000685,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2014,late rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_late_BC3_vs_CK_yield,qin_2016_2014_late_BC3_vs_CK_GWP,10.262425204286128,-27.441134109944088,0.0976930222543,-0.320772010264,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2014,late rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2014_late_RS_vs_CK_yield,qin_2016_2014_late_RS_vs_CK_GWP,4.2644359154300275,235.68042733439262,0.0417601391131,1.21098941226,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,early rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_early_BC1_vs_CK_yield,qin_2016_2015_early_BC1_vs_CK_GWP,1.2851007932123868,-20.69624996767809,0.0127691344217,-0.231884769281,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,early rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_early_BC2_vs_CK_yield,qin_2016_2015_early_BC2_vs_CK_GWP,0.7594604152986821,-25.86410978727604,0.00756591033409,-0.299270422595,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,early rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_early_BC3_vs_CK_yield,qin_2016_2015_early_BC3_vs_CK_GWP,3.5923811448461067,-36.914687411133606,0.0352936000601,-0.460682207578,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2015,early rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_early_RS_vs_CK_yield,qin_2016_2015_early_RS_vs_CK_GWP,1.693932198255096,116.7342930246754,0.0167974515525,0.773501961186,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,late rice,BC1,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_late_BC1_vs_CK_yield,qin_2016_2015_late_BC1_vs_CK_GWP,0.9345638978967291,-6.193005688147987,0.00930223868776,-0.0639307665314,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,late rice,BC2,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_late_BC2_vs_CK_yield,qin_2016_2015_late_BC2_vs_CK_GWP,-1.8157294236116899,-16.357179402319105,-0.0183241608873,-0.178614588925,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,biochar_return,rice,2015,late rice,BC3,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_late_BC3_vs_CK_yield,qin_2016_2015_late_BC3_vs_CK_GWP,9.79980229668736,-30.88527402413648,0.0934885425091,-0.369402366836,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
qin_huizhou_2012_2015,direct_return,rice,2015,late rice,RS,CK (chemical fertilizer only),intermittent flooding with midseason drainage,,GWP,qin_2016_2015_late_RS_vs_CK_yield,qin_2016_2015_late_RS_vs_CK_GWP,-0.480585349630323,144.24263400252389,-0.00481743874312,0.892991946865,"seasonal soil CH4+N2O, 100-year AR5 factors; excludes biochar production and SOC change",not_SOC,10.1016/j.scitotenv.2016.06.222,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_164,open_burning,rice,2017,Summer,rice residues burned on each plot; ash incorporated,rice residues completely removed,Alternate_Wet_Dry,120.0,GWP,rice_primary_rice_ext_pair_0117_yield,rice_primary_rice_ext_pair_0117_GWP,24.045379081317346,4.097069019855642,0.215477273003,0.0401536338076,paddy soil CH4+N2O; combustion pulse excluded,not_SOC,10.1007/s10333-021-00877-0,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_164,open_burning,rice,2017,Summer,rice residues burned on each plot; ash incorporated,rice residues completely removed,Continuous_Flooding,120.0,GWP,rice_primary_rice_ext_pair_0118_yield,rice_primary_rice_ext_pair_0118_GWP,21.49959688256056,17.36309369325451,0.194740758948,0.160102308212,paddy soil CH4+N2O; combustion pulse excluded,not_SOC,10.1007/s10333-021-00877-0,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_164,open_burning,rice,2017,Spring,rice residues burned on each plot; ash incorporated,rice residues completely removed,Alternate_Wet_Dry,150.0,GWP,rice_primary_rice_ext_pair_0119_yield,rice_primary_rice_ext_pair_0119_GWP,9.064220183485658,1.24303471924787,0.0867666987403,0.0123537247359,paddy soil CH4+N2O; combustion pulse excluded,not_SOC,10.1007/s10333-021-00877-0,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_164,open_burning,rice,2017,Spring,rice residues burned on each plot; ash incorporated,rice residues completely removed,Continuous_Flooding,150.0,GWP,rice_primary_rice_ext_pair_0120_yield,rice_primary_rice_ext_pair_0120_GWP,7.808194010658874,8.733864322988499,0.0751834808287,0.0837330989307,paddy soil CH4+N2O; combustion pulse excluded,not_SOC,10.1007/s10333-021-00877-0,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-LN,CT-LN,rain-fed,55 kg N ha-1,GWP,du_dingxi_2016_2022_2021_LN_yield,du_dingxi_2016_2022_2021_LN_GWP,3.857030238598262,11.636292931201977,0.0378450581294,0.110076016568,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-MN,CT-MN,rain-fed,110 kg N ha-1,GWP,du_dingxi_2016_2022_2021_MN_yield,du_dingxi_2016_2022_2021_MN_GWP,5.380618594328991,5.355798192776095,0.0524085489061,0.0521729901731,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-HN,CT-HN,rain-fed,220 kg N ha-1,GWP,du_dingxi_2016_2022_2021_HN_yield,du_dingxi_2016_2022_2021_HN_GWP,8.417021983856152,16.488695568988764,0.080814920061,0.152624048567,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-LN,CT-LN,rain-fed,55 kg N ha-1,GWP,du_dingxi_2016_2022_2022_LN_yield,du_dingxi_2016_2022_2022_LN_GWP,12.017510783337897,14.996089801040021,0.113485019366,0.139727940067,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-MN,CT-MN,rain-fed,110 kg N ha-1,GWP,du_dingxi_2016_2022_2022_MN_yield,du_dingxi_2016_2022_2022_MN_GWP,4.456881498100648,10.48763577536856,0.0436041830238,0.0997334352736,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-HN,CT-HN,rain-fed,220 kg N ha-1,GWP,du_dingxi_2016_2022_2022_HN_yield,du_dingxi_2016_2022_2022_HN_GWP,-0.1376751854903061,10.286911916697212,-0.00137770044849,0.0979150742707,growing-season soil CH4+N2O only,not_SOC,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
